CXSMILES,Molecule Name,Set,pIC50_MERS_Mpro,pIC50_SARS2_Mpro,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCC2)CC1,ASAP-0011155,Train,4.0,5.67,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCC2)CC1,O=C(Cc1cncc2ccccc12)N1CCC(C2CCC2)CC1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,ASAP-0013315,Train,4.19,5.46,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)O
CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,ASAP-0014212,Train,5.78,7.54,CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1,CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN(CC2=CC=CC=C2)CC1,ASAP-0011486,Train,4.26,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN(CC2=CC=CC=C2)CC1,O=C(Cc1cncc2ccccc12)N1CCCN(Cc2ccccc2)CC1
C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,ASAP-0031647,Train,4.51,5.16,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1Cc2sccc2CN1C(=O)Cc1cncc2ccccc12
O=C(NCC1=CC=CC=C1N1C=CC=N1)C1=CN=CC2=CC=CC=C12,ASAP-0000829,Train,4.29,,O=C(NCC1=CC=CC=C1N1C=CC=N1)C1=CN=CC2=CC=CC=C12,O=C(NCc1ccccc1-n1cccn1)c1cncc2ccccc12
CC1=NC=C(C2=CC=CC(Cl)=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,ASAP-0008255,Train,4.91,4.8,CC1=NC=C(C2=CC=CC(Cl)=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,Cc1ncc(-c2cccc(Cl)c2)c(=O)n1-c1cncc2ccccc12
C[C@H]1CN(C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,ASAP-0031223,Train,4.92,,C[C@H]1CN(C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1CN(C)CCN1C(=O)Cc1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(C2=CC=CN=C2)CC1,ASAP-0011504,Train,,4.04,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(C2=CC=CN=C2)CC1,O=C(Cc1cncc2ccccc12)N1CCN(c2cccnc2)CC1
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,35|",ASAP-0015114,Train,6.43,7.24,O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1,O=C1c2ccc(Cl)cc2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ncccn1
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008313,Train,4.13,5.17,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O
N#CC1=CC=C2C(=C1)OC1=C(F)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0011332,Train,4.99,4.81,N#CC1=CC=C2C(=C1)OC1=C(F)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,N#Cc1ccc2c(c1)Oc1c(F)cccc1CN2C(=O)Cc1cncc2ccccc12
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:2|,ASAP-0000713,Train,3.95,5.03,CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1,CC[C@H](C(=O)Nc1cncc2ccccc12)c1ccccc1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1 |&1:17|,ASAP-0011288,Train,4.05,5.17,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1,O=C(Cc1cncc2ccccc12)N1CCC[C@H](C2CCC2)C1
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C2=CC=CN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0017428,Train,5.41,4.79,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C2=CC=CN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(-c2ccc[nH]2)c1)C(=O)Cc1cncc2ccccc12
"CO[C@@H]1C[C@H](O)CN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:2,4|",ASAP-0031873,Train,4.2,,CO[C@@H]1C[C@H](O)CN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,CO[C@@H]1C[C@H](O)CN(C(=O)Cc2cncc3ccccc23)C1
CC1=CN=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,ASAP-0000822,Train,4.36,,CC1=CN=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,Cc1cnc2[nH]cc(CCNC(=O)c3cncc4ccccc34)c2c1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=CC=C2C2=CC=CC=C21,ASAP-0008436,Train,3.97,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=CC=C2C2=CC=CC=C21,O=C(Cc1cncc2ccccc12)N1CCc2ccccc2-c2ccccc21
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:1,20|",ASAP-0000270,Train,4.52,,C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1,C[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@H]2C1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@@H]1C2 |a:16,18|",ASAP-0031224,Train,4.48,4.39,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@@H]1C2,O=C(Cc1cncc2ccccc12)N1CC[C@H]2C[C@@H]1C2
COC1=CC=CC=C1C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:9|,ASAP-0029537,Train,,4.88,COC1=CC=CC=C1C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,COc1ccccc1C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1
"CC[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|",ASAP-0011379,Train,4.52,4.92,CC[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,CC[C@H](c1ccccc1)[C@H]1CCCN1C(=O)Cc1cncc2ccccc12
COCC(=O)[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:5|,ASAP-0029929,Train,,4.06,COCC(=O)[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12,COCC(=O)[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12
"C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCC1=CC=CC(OCCCCCCOC2=CC=CC3=C2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)=C1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O |a:1,7,49,60,64,&1:35|",ASAP-0021103,Train,4.16,5.41,C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCC1=CC=CC(OCCCCCCOC2=CC=CC3=C2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)=C1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCc1cccc(OCCCCCCOc2cccc3c2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)c1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O
O=C(N[C@H]1CCCN(C(=O)C2=CN=CC3=CC=CC=C23)C1)C1=CC=C(Cl)C=C1 |&1:3|,ASAP-0008257,Train,4.22,,O=C(N[C@H]1CCCN(C(=O)C2=CN=CC3=CC=CC=C23)C1)C1=CC=C(Cl)C=C1,O=C(N[C@H]1CCCN(C(=O)c2cncc3ccccc23)C1)c1ccc(Cl)cc1
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1 |&1:15,17|",ASAP-0011300,Train,4.05,4.76,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1,O=C(Cc1cncc2ccccc12)N1C[C@H](F)[C@H](c2ccccc2)C1
C=CC(=O)N(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,ASAP-0011041,Train,6.23,5.76,C=CC(=O)N(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,C=CC(=O)N(C)c1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1
COC1=CC=C(C)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,ASAP-0000644,Train,4.38,5.25,COC1=CC=C(C)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,COc1ccc(C)cc1CC(=O)Nc1cncc2ccccc12
"CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:2,21|",ASAP-0000233,Train,4.25,,CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1,CO[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@H]2C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |&1:16|,ASAP-0029337,Train,,5.07,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](c2cccc(F)c2)C1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCC(C)(C(=O)NC)CC1,ASAP-0011947,Train,6.59,,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCC(C)(C(=O)NC)CC1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N1CCC(C)(C(=O)NC)CC1
O=C(CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1,ASAP-0031798,Train,4.87,5.75,O=C(CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1,O=C(CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12)N1CCCC1
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",ASAP-0000737,Train,4.15,5.27,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2CC2CC2)c2cc(Cl)ccc2C1=O
"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|",ASAP-0030808,Train,6.16,6.19,COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,COc1ccccc1[C@@H]1C[C@H](C)CCN1C(=O)Cc1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCC1 |&1:17|,ASAP-0011290,Train,4.53,5.59,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCC1,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1C1CCCC1
"CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2COC[C@H]21 |&1:18,22|",ASAP-0029472,Train,,4.42,CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2COC[C@H]21,CC1(C)CN(C(=O)Cc2cncc3ccccc23)[C@H]2COC[C@H]21
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |o1:21|,ASAP-0031869,Train,4.68,5.32,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1,O=C(Cc1cncc2ccccc12)N1CCc2sccc2[C@H]1C1CC1
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008315,Train,5.05,6.9,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(Cl)=C1,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1Cc1cccc(Cl)c1
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:43|",ASAP-0010734,Train,5.89,7.23,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O,O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCCCCOc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
C[C@H](NC(=O)COS(N)(=O)=O)C1=CC(Cl)=CC(C2=CC=C(S(N)(=O)=O)C=C2)=C1 |&1:1|,ASAP-0000516,Train,4.26,5.75,C[C@H](NC(=O)COS(N)(=O)=O)C1=CC(Cl)=CC(C2=CC=C(S(N)(=O)=O)C=C2)=C1,C[C@H](NC(=O)COS(N)(=O)=O)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1
C[C@H](C1=CC=CC=C1)N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008405,Train,5.2,5.15,C[C@H](C1=CC=CC=C1)N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H](c1ccccc1)N(Cc1ccccc1)C(=O)Cc1cncc2ccccc12
"C[C@H]1C[C@H](C2=CSC=C2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",ASAP-0011492,Train,4.1,5.05,C[C@H]1C[C@H](C2=CSC=C2)CN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1C[C@H](c2ccsc2)CN1C(=O)Cc1cncc2ccccc12
CC1=CN=C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2=C1,ASAP-0031482,Train,4.76,5.03,CC1=CN=C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2=C1,Cc1cnc2c(c1)CN(C(=O)Cc1cncc3ccccc13)CC2
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CN=CC=C2C1=O,ASAP-0000807,Train,4.45,5.59,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CN=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cnccc2C1=O
"C[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12 |a:1,3,6|",ASAP-0031226,Train,4.82,5.38,C[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cncc2ccccc12
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)(F)F)C=C1 |&1:12|,ASAP-0000213,Train,5.8,7.15,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)(F)F)C=C1,O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1ccc(C(F)(F)F)cc1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H]2C1 |&1:16,&2:18|",ASAP-0029712,Train,4.62,4.55,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H]2C1,O=C(Cc1cncc2ccccc12)N1CC[C@H]2C[C@H]2C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC(F)=C2)C1 |&1:17|,ASAP-0029417,Train,,5.1,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC(F)=C2)C1,O=C(Cc1cncc2ccccc12)N1CCC[C@H](c2cccc(F)c2)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|,ASAP-0030702,Train,3.55,5.35,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1,O=C(Cc1cncc2ccccc12)N1CC[C@]2(CCCc3ccccc32)C1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,ASAP-0013743,Train,4.25,7.91,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(OC)cc1Cl
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NOC=C2C1,ASAP-0029494,Train,4.5,5.49,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NOC=C2C1,O=C(Cc1cncc2ccccc12)N1CCc2nocc2C1
CNC(=O)C1(N2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)CC1,ASAP-0011129,Train,6.44,8.04,CNC(=O)C1(N2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)CC1,CNC(=O)C1(N2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)CC1
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|,ASAP-0008264,Train,4.37,,O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(Cl)=C1,O=C(c1cncc2ccccc12)N1CCCC[C@H]1c1cccc(Cl)c1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCO[C@H]2C1 |&1:16,20|",ASAP-0029439,Train,,4.23,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCO[C@H]2C1,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CCO[C@H]2C1
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CO1 |a:9,32|",ASAP-0030064,Train,7.12,8.18,O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CO1,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nnco1
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",ASAP-0000435,Train,4.75,5.81,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2Cc2ccccc2)c2cc(Cl)ccc2C1=O
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=CC=C1 |&1:6|,ASAP-0000538,Train,5.23,5.24,C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=CC=C1,C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccccc1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CC2)CC1,ASAP-0029671,Train,,4.29,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CC2)CC1,O=C(Cc1cncc2ccccc12)N1CCC(OC2CC2)CC1
COC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,ASAP-0008374,Train,5.72,5.37,COC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,COc1ccc(N(Cc2ccccc2)C(=O)Cc2cncc3ccccc23)cc1
O=C(NCCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000840,Train,3.82,4.82,O=C(NCCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,O=C(NCCc1c[nH]c2ccc(F)cc12)c1cncc2ccccc12
CC(=O)NC1=CC=C(NC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:21|,ASAP-0000164,Train,5.27,7.47,CC(=O)NC1=CC=C(NC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,CC(=O)Nc1ccc(NC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1
CC1=CC=C([C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2CC2)C=C1 |&1:5|,ASAP-0000726,Train,4.31,4.73,CC1=CC=C([C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2CC2)C=C1,Cc1ccc([C@H](C(=O)Nc2cncc3ccccc23)C2CC2)cc1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C[C@H]2CCCO2)C1 |&1:16,&2:18|",ASAP-0011266,Train,4.25,,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C[C@H]2CCCO2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](C[C@H]2CCCO2)C1
"O=C(N[C@@H]1C[C@H](O)C2=CC=CC=C21)C1=CN=CC2=CC=CC=C12 |&1:3,5|",ASAP-0000859,Train,4.5,,O=C(N[C@@H]1C[C@H](O)C2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,O=C(N[C@@H]1C[C@H](O)c2ccccc21)c1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)COC2,ASAP-0029727,Train,,4.27,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)COC2,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)COC2
CC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:2|,ASAP-0011175,Train,5.38,6.28,CC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2,CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12
COC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,ASAP-0029587,Train,,4.59,COC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,COC1CCN(C(=O)Cc2cncc3ccccc23)CC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|,ASAP-0031016,Train,4.09,5.61,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1c1cccc(F)c1F
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(F)=CC=C2C1=O,ASAP-0013404,Train,4.07,6.83,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(F)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)N(C)C)c2cc(F)ccc2C1=O
"CC1=NC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=CN1 |a:7,22|",ASAP-0014618,Train,6.3,7.56,CC1=NC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=CN1,Cc1nc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)c[nH]1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCOC2)CC1 |o1:17|,ASAP-0031882,Train,4.27,4.68,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCOC2)CC1,O=C(Cc1cncc2ccccc12)N1CCC([C@H]2CCOC2)CC1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC(F)=CC=C2F)CC1,ASAP-0011296,Train,4.29,4.27,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC(F)=CC=C2F)CC1,O=C(Cc1cncc2ccccc12)N1CCC(Cc2cc(F)ccc2F)CC1
